name,price,datetime
Glowing Forge Prize Box,50000,2025-04-12T13:21:27
Crest of Summer,69696,2025-04-12T12:33:06
Hallow Sensor Unit,1000,2025-04-12T08:53:07
Blast Bomb,1100,2025-04-12T08:48:07
Volcanic Node Slime Guards,69999,2025-04-12T08:13:06
Volcanic Node Slime Mask,44444,2025-04-12T08:09:46
Dazed Draped Armor,59999,2025-04-12T07:14:46
Iron Gear,200,2025-04-12T03:38:06
Divine Star,2000,2025-04-12T02:49:46
Defender,2500,2025-04-12T02:04:46
Divine Star x10,20000,2025-04-11T22:53:06
Argent Peacemaker Recipe,33000,2025-04-11T21:29:46
Divine Orb x3,4400,2025-04-11T19:48:05
Divine Orb x3,4400,2025-04-11T19:48:05
Divine Orb x3,4400,2025-04-11T19:48:05
Divine Orb x3,4400,2025-04-11T19:44:45
Zee Core,300,2025-04-11T19:29:45
Unstable Core,300,2025-04-11T19:29:45
Torchstone,300,2025-04-11T19:28:05
Owlite Feather,200,2025-04-11T19:26:25
Iron Gear,200,2025-04-11T19:26:25
Ghost Bell,400,2025-04-11T19:26:25
Power Orb x3,5990,2025-04-11T09:15:07
Divine Star x10,18000,2025-04-11T08:36:47
Spike Shower Recipe,14000,2025-04-11T08:01:47
