name,price,datetime
Divine Star x10,20000,2025-03-03T11:21:03
Divine Star x10,20000,2025-03-03T11:21:03
Divine Star x10,20000,2025-03-03T11:21:03
Advanced Orb of Alchemy,4600,2025-03-03T10:57:46
Autogun,6112,2025-03-03T10:51:02
Brandish,1280,2025-03-03T09:32:42
Brandish,1280,2025-03-03T09:06:02
Advanced Orb of Alchemy,4487,2025-03-03T08:59:23
Advanced Orb of Alchemy,4487,2025-03-03T08:57:43
Advanced Orb of Alchemy,4487,2025-03-03T08:57:43
Elite Orb of Alchemy,8700,2025-03-03T08:56:03
Elite Orb of Alchemy,8700,2025-03-03T08:56:03
Spike Shower Recipe,14000,2025-03-03T08:46:02
Fiery Atomizer Recipe,12000,2025-03-03T08:31:02
Radiant Forge Prize Box,80000,2025-03-03T08:26:03
Dangerous Diablo Helm,35000,2025-03-03T07:46:02
Freeze Vial Bandolier,5800,2025-03-03T07:42:43
Divine Node Slime Guards,30000,2025-03-03T06:59:23
Divine Node Container,50000,2025-03-03T06:59:23
Divine Mote,520,2025-03-03T06:41:02
Divine Mote,520,2025-03-03T06:41:02
Volcanic Dapper Combo,70000,2025-03-03T06:21:06
Blaster,133333,2025-03-03T06:12:42
Phial of Phear,50,2025-03-03T05:52:42
Sinful Brew,25,2025-03-03T05:52:42
Zee Core,1000,2025-03-03T05:52:42
Hallow Barrel Belly,750,2025-03-03T05:52:42
Brute Core,20,2025-03-03T05:51:02
Iron Gear x2,75,2025-03-03T05:51:02
Monster Bone,200,2025-03-03T05:51:02
Fine Fabric,999,2025-03-03T05:42:42
Fine Fabric,999,2025-03-03T05:42:42
Fine Fabric,999,2025-03-03T05:42:42
Silver Lockbox,10000,2025-03-03T05:36:03
Golden Slime Coin x39,10000,2025-03-03T05:16:05
Flame Soul x40,10000,2025-03-03T04:34:22
Philoso Feather x30,8900,2025-03-03T04:34:22
Reaper Rib x30,8900,2025-03-03T04:34:22
Divine Star,1300,2025-03-03T04:27:42
Divine Star,1300,2025-03-03T04:27:42
Divine Star,1300,2025-03-03T04:27:42
Floating Amethysts,400000,2025-03-03T04:24:22
Blaster,129999,2025-03-03T03:52:42
Torchstone x100,4999,2025-03-03T03:49:22
Soul Dust x100,4999,2025-03-03T03:49:22
Snowfall Aura,300000,2025-03-03T03:46:03
Divine Valkyrie Wings,599266,2025-03-03T03:37:42
Shade Helm Recipe,5000,2025-03-03T03:37:42
Toasty Intel Tube,16000,2025-03-03T03:22:46
Advanced Orb of Alchemy,4489,2025-03-03T03:04:23
Military Node Slime Guards,840,2025-03-03T02:26:02
Military Node Slime Guards,165,2025-03-03T02:26:02
Regal Node Slime Guards,165,2025-03-03T02:26:02
Regal Node Slime Guards,840,2025-03-03T02:26:02
Fancy Node Slime Mask,228,2025-03-03T02:26:02
Slime Confetti x17,270,2025-03-03T02:24:26
Divine Star,1500,2025-03-03T02:24:22
"Slime, Small Firework x14",1261,2025-03-03T02:24:22
"Slime, Medium Firework x8",756,2025-03-03T02:24:22
"Slime, Large Firework x3",756,2025-03-03T02:24:22
Dusky Node Slime Guards,5400,2025-03-03T02:24:22
Fancy Node Slime Guards,1169,2025-03-03T02:24:22
Fancy Node Slime Guards,218,2025-03-03T02:24:22
Heavy Node Slime Guards,2000,2025-03-03T02:24:22
Recover Helm Front Accessory,165000,2025-03-03T02:17:46
Military Flower,37100,2025-03-03T02:11:05
Fancy Ribbon,5600,2025-03-03T02:06:02
Hacked Aura,600000,2025-03-03T02:04:22
Divine Cat Tail,300000,2025-03-03T02:02:42
Sprinkle Aura,300000,2025-03-03T02:01:02
Prismatic Glow-Eyes,500000,2025-03-03T01:59:22
Shining Forge Prize Box,100000,2025-03-03T01:57:42
Fine Fabric,999,2025-03-03T01:52:42
Fine Fabric,999,2025-03-03T01:52:42
Radiant Forge Prize Box,145000,2025-03-03T01:34:22
Breach Blaster Recipe,14000,2025-03-03T01:24:22
Shadow Key,88888,2025-03-03T00:51:02
Frosty Maid Headband,66,2025-03-03T00:49:25
Divine Star,1500,2025-03-03T00:46:02
Autumn Round Shades,72333,2025-03-03T00:41:05
Frosty Spike Mohawk,786,2025-03-03T00:41:05
Polar Sensor Unit,403,2025-03-03T00:41:05
Toasty Goggles,520,2025-03-03T00:41:05
Frosty Headband,575,2025-03-03T00:37:43
Toasty Wolver Tail,195999,2025-03-03T00:12:45
